source_path,package_decision,category,reason,size_bytes,modified
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/.DS_Store,exclude,system_file,Finder metadata.,6148,2026-05-12T21:35:23.040Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/AWR.xlsx,include_derived_non_sensitive,derived_formula_workbook,"Tiny aggregate/formula-check workbook; no card IDs, traces, stations, or raw smart-card records.",9132,2018-03-23T02:27:02.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/Cities R1/CitiesManuscriptR1_20181001.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,1773032,2018-10-01T22:38:56.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/Cities R1/response2reviewer comment20181001.docx,exclude,editorial_review_material,Reviewer response/editorial material; outside archive scope.,19319,2018-10-01T22:38:52.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/CitiesManuscriptR1_20181115.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,1827560,2018-11-15T21:44:56.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing pattern_final-ATRF-R1.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,2161791,2018-09-07T02:03:44.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing pattern_final-ATRF-R1.pdf,exclude,preprint_or_manuscript_pdf,Alternate manuscript/preprint/conference PDF; final article is retained.,2363082,2018-09-07T02:08:01.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing pattern_final-ATRF-R1b.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,2161883,2018-09-10T00:12:42.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing pattern_final-ATRF-R1b.pdf,exclude,preprint_or_manuscript_pdf,Alternate manuscript/preprint/conference PDF; final article is retained.,2331397,2018-09-10T00:13:56.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing pattern_final.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,2182369,2018-03-29T19:19:36.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing pattern_final.pdf,exclude,preprint_or_manuscript_pdf,Alternate manuscript/preprint/conference PDF; final article is retained.,1828034,2018-06-28T05:30:06.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing patternv10-dml.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,2467479,2018-03-23T02:59:58.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing patternv3.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,608646,2018-02-08T01:47:19.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing patternv4.pdf,exclude,preprint_or_manuscript_pdf,Alternate manuscript/preprint/conference PDF; final article is retained.,1060673,2018-02-11T04:14:56.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing patternv5-dml.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,1064268,2018-02-11T22:54:58.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing patternv6.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,2511995,2018-02-21T21:32:09.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing patternv6.pdf,exclude,preprint_or_manuscript_pdf,Alternate manuscript/preprint/conference PDF; final article is retained.,1923397,2018-02-21T21:32:09.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing patternv7-dml.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,2504095,2018-03-10T00:41:15.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/evolution of job-housing patternv8-dml.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,2636999,2018-03-17T03:24:38.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/Job-worker spatial dynamics in Beijing - Insights from Smart Card Data-Preprint.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,1805231,2019-10-02T01:10:39.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/Job-worker spatial dynamics in Beijing - Insights from Smart Card Data-Preprint.pdf,exclude,preprint_or_manuscript_pdf,Alternate manuscript/preprint/conference PDF; final article is retained.,2063393,2019-10-02T01:11:30.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/Job-worker spatial dynamics in Beijing_Insights from Smart Card Data.pdf,include_reference_copy,paper,Final/published article reference copy retained in package.,2421729,2018-12-26T19:25:16.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/JWSDBISCD-Beijing-Final.pdf.pdf,exclude,preprint_or_manuscript_pdf,Alternate manuscript/preprint/conference PDF; final article is retained.,2424036,2021-03-08T22:12:55.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/manuscript without authors0423.docx,exclude,draft_or_preprint_source,Draft/manuscript source; outside archive scope.,2165799,2018-04-23T08:03:21.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/ResonseToATRFReviewers.docx,exclude,editorial_review_material,Reviewer response/editorial material; outside archive scope.,34289,2018-09-07T02:08:54.000Z
/Users/dlev2617/Documents/Papers/~05-Published/Cities/Cities - Beijing J:W Balance with Smartcards/ResonseToATRFReviewers.pdf,exclude,editorial_review_material,Reviewer response/editorial material; outside archive scope.,57467,2018-09-07T02:09:05.000Z
